,name,lobby_image_right,lobby_image_left,small_img,ban_img,voice
Singed,신지드,http://39.118.174.168:8000/champ_image/right/신지드.png,http://39.118.174.168:8000/champ_image/left/신지드.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Singed.png,http://39.118.174.168:8000/champ_image/long_image_noColor/신지드.jpg,Singed.mp3
Thresh,쓰레쉬,http://39.118.174.168:8000/champ_image/right/쓰레쉬.png,http://39.118.174.168:8000/champ_image/left/쓰레쉬.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Thresh.png,http://39.118.174.168:8000/champ_image/long_image_noColor/쓰레쉬.jpg,Thresh.mp3
Ahri,아리,http://39.118.174.168:8000/champ_image/right/아리.png,http://39.118.174.168:8000/champ_image/left/아리.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Ahri.png,http://39.118.174.168:8000/champ_image/long_image_noColor/아리.jpg,Ahri.mp3
Amumu,아무무,http://39.118.174.168:8000/champ_image/right/아무무.png,http://39.118.174.168:8000/champ_image/left/아무무.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Amumu.png,http://39.118.174.168:8000/champ_image/long_image_noColor/아무무.jpg,Amumu.mp3
AurelionSol,아우렐리온 솔,http://39.118.174.168:8000/champ_image/right/아우렐리온 솔.png,http://39.118.174.168:8000/champ_image/left/아우렐리온 솔.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/AurelionSol.png,http://39.118.174.168:8000/champ_image/long_image_noColor/아우렐리온 솔.jpg,AurelionSol.mp3
Ivern,아이번,http://39.118.174.168:8000/champ_image/right/아이번.png,http://39.118.174.168:8000/champ_image/left/아이번.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Ivern.png,http://39.118.174.168:8000/champ_image/long_image_noColor/아이번.jpg,Ivern.mp3
Azir,아지르,http://39.118.174.168:8000/champ_image/right/아지르.png,http://39.118.174.168:8000/champ_image/left/아지르.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Azir.png,http://39.118.174.168:8000/champ_image/long_image_noColor/아지르.jpg,Azir.mp3
Akali,아칼리,http://39.118.174.168:8000/champ_image/right/아칼리.png,http://39.118.174.168:8000/champ_image/left/아칼리.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Akali.png,http://39.118.174.168:8000/champ_image/long_image_noColor/아칼리.jpg,Akali.mp3
Aatrox,아트록스,http://39.118.174.168:8000/champ_image/right/아트록스.png,http://39.118.174.168:8000/champ_image/left/아트록스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Aatrox.png,http://39.118.174.168:8000/champ_image/long_image_noColor/아트록스.jpg,Aatrox.mp3
Aphelios,아펠리오스,http://39.118.174.168:8000/champ_image/right/아펠리오스.png,http://39.118.174.168:8000/champ_image/left/아펠리오스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Aphelios.png,http://39.118.174.168:8000/champ_image/long_image_noColor/아펠리오스.jpg,Aphelios.mp3
Alistar,알리스타,http://39.118.174.168:8000/champ_image/right/알리스타.png,http://39.118.174.168:8000/champ_image/left/알리스타.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Alistar.png,http://39.118.174.168:8000/champ_image/long_image_noColor/알리스타.jpg,Alistar.mp3
Annie,애니,http://39.118.174.168:8000/champ_image/right/애니.png,http://39.118.174.168:8000/champ_image/left/애니.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Annie.png,http://39.118.174.168:8000/champ_image/long_image_noColor/애니.jpg,Annie.mp3
Anivia,애니비아,http://39.118.174.168:8000/champ_image/right/애니비아.png,http://39.118.174.168:8000/champ_image/left/애니비아.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Anivia.png,http://39.118.174.168:8000/champ_image/long_image_noColor/애니비아.jpg,Anivia.mp3
Ashe,애쉬,http://39.118.174.168:8000/champ_image/right/애쉬.png,http://39.118.174.168:8000/champ_image/left/애쉬.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Ashe.png,http://39.118.174.168:8000/champ_image/long_image_noColor/애쉬.jpg,Ashe.mp3
Yasuo,야스오,http://39.118.174.168:8000/champ_image/right/야스오.png,http://39.118.174.168:8000/champ_image/left/야스오.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Yasuo.png,http://39.118.174.168:8000/champ_image/long_image_noColor/야스오.jpg,Yasuo.mp3
Ekko,에코,http://39.118.174.168:8000/champ_image/right/에코.png,http://39.118.174.168:8000/champ_image/left/에코.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Ekko.png,http://39.118.174.168:8000/champ_image/long_image_noColor/에코.jpg,Ekko.mp3
Elise,엘리스,http://39.118.174.168:8000/champ_image/right/엘리스.png,http://39.118.174.168:8000/champ_image/left/엘리스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Elise.png,http://39.118.174.168:8000/champ_image/long_image_noColor/엘리스.jpg,Elise.mp3
MonkeyKing,오공,http://39.118.174.168:8000/champ_image/right/오공.png,http://39.118.174.168:8000/champ_image/left/오공.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/MonkeyKing.png,http://39.118.174.168:8000/champ_image/long_image_noColor/오공.jpg,MonkeyKing.mp3
Ornn,오른,http://39.118.174.168:8000/champ_image/right/오른.png,http://39.118.174.168:8000/champ_image/left/오른.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Ornn.png,http://39.118.174.168:8000/champ_image/long_image_noColor/오른.jpg,Ornn.mp3
Orianna,오리아나,http://39.118.174.168:8000/champ_image/right/오리아나.png,http://39.118.174.168:8000/champ_image/left/오리아나.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Orianna.png,http://39.118.174.168:8000/champ_image/long_image_noColor/오리아나.jpg,Orianna.mp3
Olaf,올라프,http://39.118.174.168:8000/champ_image/right/올라프.png,http://39.118.174.168:8000/champ_image/left/올라프.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Olaf.png,http://39.118.174.168:8000/champ_image/long_image_noColor/올라프.jpg,Olaf.mp3
Yone,요네,http://39.118.174.168:8000/champ_image/right/요네.png,http://39.118.174.168:8000/champ_image/left/요네.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Yone.png,http://39.118.174.168:8000/champ_image/long_image_noColor/요네.jpg,Yone.mp3
Yorick,요릭,http://39.118.174.168:8000/champ_image/right/요릭.png,http://39.118.174.168:8000/champ_image/left/요릭.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Yorick.png,http://39.118.174.168:8000/champ_image/long_image_noColor/요릭.jpg,Yorick.mp3
Udyr,우디르,http://39.118.174.168:8000/champ_image/right/우디르.png,http://39.118.174.168:8000/champ_image/left/우디르.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Udyr.png,http://39.118.174.168:8000/champ_image/long_image_noColor/우디르.jpg,Udyr.mp3
Urgot,우르곳,http://39.118.174.168:8000/champ_image/right/우르곳.png,http://39.118.174.168:8000/champ_image/left/우르곳.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Urgot.png,http://39.118.174.168:8000/champ_image/long_image_noColor/우르곳.jpg,Urgot.mp3
Warwick,워윅,http://39.118.174.168:8000/champ_image/right/워윅.png,http://39.118.174.168:8000/champ_image/left/워윅.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Warwick.png,http://39.118.174.168:8000/champ_image/long_image_noColor/워윅.jpg,Warwick.mp3
Yuumi,유미,http://39.118.174.168:8000/champ_image/right/유미.png,http://39.118.174.168:8000/champ_image/left/유미.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Yuumi.png,http://39.118.174.168:8000/champ_image/long_image_noColor/유미.jpg,Yuumi.mp3
Irelia,이렐리아,http://39.118.174.168:8000/champ_image/right/이렐리아.png,http://39.118.174.168:8000/champ_image/left/이렐리아.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Irelia.png,http://39.118.174.168:8000/champ_image/long_image_noColor/이렐리아.jpg,Irelia.mp3
Evelynn,이블린,http://39.118.174.168:8000/champ_image/right/이블린.png,http://39.118.174.168:8000/champ_image/left/이블린.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Evelynn.png,http://39.118.174.168:8000/champ_image/long_image_noColor/이블린.jpg,Evelynn.mp3
Ezreal,이즈리얼,http://39.118.174.168:8000/champ_image/right/이즈리얼.png,http://39.118.174.168:8000/champ_image/left/이즈리얼.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Ezreal.png,http://39.118.174.168:8000/champ_image/long_image_noColor/이즈리얼.jpg,Ezreal.mp3
Illaoi,일라오이,http://39.118.174.168:8000/champ_image/right/일라오이.png,http://39.118.174.168:8000/champ_image/left/일라오이.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Illaoi.png,http://39.118.174.168:8000/champ_image/long_image_noColor/일라오이.jpg,Illaoi.mp3
JarvanIV,자르반 4세,http://39.118.174.168:8000/champ_image/right/자르반 4세.png,http://39.118.174.168:8000/champ_image/left/자르반 4세.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/JarvanIV.png,http://39.118.174.168:8000/champ_image/long_image_noColor/자르반 4세.jpg,JarvanIV.mp3
Xayah,자야,http://39.118.174.168:8000/champ_image/right/자야.png,http://39.118.174.168:8000/champ_image/left/자야.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Xayah.png,http://39.118.174.168:8000/champ_image/long_image_noColor/자야.jpg,Xayah.mp3
Zyra,자이라,http://39.118.174.168:8000/champ_image/right/자이라.png,http://39.118.174.168:8000/champ_image/left/자이라.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Zyra.png,http://39.118.174.168:8000/champ_image/long_image_noColor/자이라.jpg,Zyra.mp3
Zac,자크,http://39.118.174.168:8000/champ_image/right/자크.png,http://39.118.174.168:8000/champ_image/left/자크.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Zac.png,http://39.118.174.168:8000/champ_image/long_image_noColor/자크.jpg,Zac.mp3
Janna,잔나,http://39.118.174.168:8000/champ_image/right/잔나.png,http://39.118.174.168:8000/champ_image/left/잔나.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Janna.png,http://39.118.174.168:8000/champ_image/long_image_noColor/잔나.jpg,Janna.mp3
Jax,잭스,http://39.118.174.168:8000/champ_image/right/잭스.png,http://39.118.174.168:8000/champ_image/left/잭스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Jax.png,http://39.118.174.168:8000/champ_image/long_image_noColor/잭스.jpg,Jax.mp3
Zed,제드,http://39.118.174.168:8000/champ_image/right/제드.png,http://39.118.174.168:8000/champ_image/left/제드.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Zed.png,http://39.118.174.168:8000/champ_image/long_image_noColor/제드.jpg,Zed.mp3
Xerath,제라스,http://39.118.174.168:8000/champ_image/right/제라스.png,http://39.118.174.168:8000/champ_image/left/제라스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Xerath.png,http://39.118.174.168:8000/champ_image/long_image_noColor/제라스.jpg,Xerath.mp3
Jayce,제이스,http://39.118.174.168:8000/champ_image/right/제이스.png,http://39.118.174.168:8000/champ_image/left/제이스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Jayce.png,http://39.118.174.168:8000/champ_image/long_image_noColor/제이스.jpg,Jayce.mp3
Zoe,조이,http://39.118.174.168:8000/champ_image/right/조이.png,http://39.118.174.168:8000/champ_image/left/조이.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Zoe.png,http://39.118.174.168:8000/champ_image/long_image_noColor/조이.jpg,Zoe.mp3
Ziggs,직스,http://39.118.174.168:8000/champ_image/right/직스.png,http://39.118.174.168:8000/champ_image/left/직스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Ziggs.png,http://39.118.174.168:8000/champ_image/long_image_noColor/직스.jpg,Ziggs.mp3
Jhin,진,http://39.118.174.168:8000/champ_image/right/진.png,http://39.118.174.168:8000/champ_image/left/진.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Jhin.png,http://39.118.174.168:8000/champ_image/long_image_noColor/진.jpg,Jhin.mp3
Zilean,질리언,http://39.118.174.168:8000/champ_image/right/질리언.png,http://39.118.174.168:8000/champ_image/left/질리언.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Zilean.png,http://39.118.174.168:8000/champ_image/long_image_noColor/질리언.jpg,Zilean.mp3
Jinx,징크스,http://39.118.174.168:8000/champ_image/right/징크스.png,http://39.118.174.168:8000/champ_image/left/징크스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Jinx.png,http://39.118.174.168:8000/champ_image/long_image_noColor/징크스.jpg,Jinx.mp3
Chogath,초가스,http://39.118.174.168:8000/champ_image/right/초가스.png,http://39.118.174.168:8000/champ_image/left/초가스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Chogath.png,http://39.118.174.168:8000/champ_image/long_image_noColor/초가스.jpg,Chogath.mp3
Karma,카르마,http://39.118.174.168:8000/champ_image/right/카르마.png,http://39.118.174.168:8000/champ_image/left/카르마.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Karma.png,http://39.118.174.168:8000/champ_image/long_image_noColor/카르마.jpg,Karma.mp3
Camille,카밀,http://39.118.174.168:8000/champ_image/right/카밀.png,http://39.118.174.168:8000/champ_image/left/카밀.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Camille.png,http://39.118.174.168:8000/champ_image/long_image_noColor/카밀.jpg,Camille.mp3
Kassadin,카사딘,http://39.118.174.168:8000/champ_image/right/카사딘.png,http://39.118.174.168:8000/champ_image/left/카사딘.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Kassadin.png,http://39.118.174.168:8000/champ_image/long_image_noColor/카사딘.jpg,Kassadin.mp3
Karthus,카서스,http://39.118.174.168:8000/champ_image/right/카서스.png,http://39.118.174.168:8000/champ_image/left/카서스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Karthus.png,http://39.118.174.168:8000/champ_image/long_image_noColor/카서스.jpg,Karthus.mp3
Cassiopeia,카시오페아,http://39.118.174.168:8000/champ_image/right/카시오페아.png,http://39.118.174.168:8000/champ_image/left/카시오페아.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Cassiopeia.png,http://39.118.174.168:8000/champ_image/long_image_noColor/카시오페아.jpg,Cassiopeia.mp3
Kaisa,카이사,http://39.118.174.168:8000/champ_image/right/카이사.png,http://39.118.174.168:8000/champ_image/left/카이사.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Kaisa.png,http://39.118.174.168:8000/champ_image/long_image_noColor/카이사.jpg,Kaisa.mp3
Khazix,카직스,http://39.118.174.168:8000/champ_image/right/카직스.png,http://39.118.174.168:8000/champ_image/left/카직스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Khazix.png,http://39.118.174.168:8000/champ_image/long_image_noColor/카직스.jpg,Khazix.mp3
Katarina,카타리나,http://39.118.174.168:8000/champ_image/right/카타리나.png,http://39.118.174.168:8000/champ_image/left/카타리나.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Katarina.png,http://39.118.174.168:8000/champ_image/long_image_noColor/카타리나.jpg,Katarina.mp3
Kalista,칼리스타,http://39.118.174.168:8000/champ_image/right/칼리스타.png,http://39.118.174.168:8000/champ_image/left/칼리스타.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Kalista.png,http://39.118.174.168:8000/champ_image/long_image_noColor/칼리스타.jpg,Kalista.mp3
Kennen,케넨,http://39.118.174.168:8000/champ_image/right/케넨.png,http://39.118.174.168:8000/champ_image/left/케넨.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Kennen.png,http://39.118.174.168:8000/champ_image/long_image_noColor/케넨.jpg,Kennen.mp3
Caitlyn,케이틀린,http://39.118.174.168:8000/champ_image/right/케이틀린.png,http://39.118.174.168:8000/champ_image/left/케이틀린.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Caitlyn.png,http://39.118.174.168:8000/champ_image/long_image_noColor/케이틀린.jpg,Caitlyn.mp3
Kayn,케인,http://39.118.174.168:8000/champ_image/right/케인.png,http://39.118.174.168:8000/champ_image/left/케인.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Kayn.png,http://39.118.174.168:8000/champ_image/long_image_noColor/케인.jpg,Kayn.mp3
Kayle,케일,http://39.118.174.168:8000/champ_image/right/케일.png,http://39.118.174.168:8000/champ_image/left/케일.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Kayle.png,http://39.118.174.168:8000/champ_image/long_image_noColor/케일.jpg,Kayle.mp3
KogMaw,코그모,http://39.118.174.168:8000/champ_image/right/코그모.png,http://39.118.174.168:8000/champ_image/left/코그모.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/KogMaw.png,http://39.118.174.168:8000/champ_image/long_image_noColor/코그모.jpg,KogMaw.mp3
Corki,코르키,http://39.118.174.168:8000/champ_image/right/코르키.png,http://39.118.174.168:8000/champ_image/left/코르키.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Corki.png,http://39.118.174.168:8000/champ_image/long_image_noColor/코르키.jpg,Corki.mp3
Quinn,퀸,http://39.118.174.168:8000/champ_image/right/퀸.png,http://39.118.174.168:8000/champ_image/left/퀸.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Quinn.png,http://39.118.174.168:8000/champ_image/long_image_noColor/퀸.jpg,Quinn.mp3
